City ID,City,Country,Lat,Long,Date,Temp Max,Humidity,Cloudiness,Wind Speed
361291,Hurghada,EG,27.26,33.81,12/28/2020,69.8,52,0,2.1
1508427,Charyshskoye,RU,51.4,83.56,12/28/2020,6.476,77,79,1.51
3072781,Křemže,CZ,48.91,14.31,12/28/2020,35.996,80,100,2.01
1282256,Hithadhoo,MV,-0.6,73.08,12/28/2020,82.454,75,51,3.98
214974,Kalemie,CD,-5.95,29.19,12/28/2020,72.482,85,96,1.47
2288105,Grand-Lahou,CI,5.14,-5.02,12/28/2020,80.924,81,28,4.46
1528998,Yumen,CN,40.28,97.2,12/28/2020,8.69,80,86,4.04
5366604,Lindsay,US,36.2,-119.09,12/28/2020,51.008,81,75,5.1
1485284,Zelenogorskiy,RU,55.03,87,12/28/2020,-27.4,67,0,2
6050066,La Ronge,CA,55.1,-105.28,12/28/2020,6.8,84,29,2.1
8079926,Labuhan,ID,-6.88,112.21,12/28/2020,78.584,86,94,3.08
5655240,Great Falls,US,47.5,-111.3,12/28/2020,30.992,63,1,4.6
114259,Sīrjān,IR,29.45,55.68,12/28/2020,47.246,47,88,2.73
1622318,Waingapu,ID,-9.66,120.26,12/28/2020,79.286,77,70,1.94
86049,Jalu,LY,29.03,21.55,12/28/2020,56.552,44,0,2.96
2633858,Winchester,GB,51.07,-1.32,12/28/2020,37.4,86,75,5.7
3075731,Hluboká nad Vltavou,CZ,49.05,14.43,12/28/2020,35.006,80,100,2
2109528,Buala,SB,-8.14,159.59,12/28/2020,80.42,78,98,2.05
244878,Biltine,TD,14.53,20.92,12/28/2020,77.918,19,0,4.02
2311968,Nioki,CD,-2.72,17.68,12/28/2020,79.268,71,100,1.12
3421765,Nanortalik,GL,60.14,-45.24,12/28/2020,31.892,96,100,2.68
535711,Lesnoye,RU,58.28,35.52,12/28/2020,11.732,96,90,3.9
2361177,Djibo,BF,14.1,-1.63,12/28/2020,78.674,16,0,4.34
3869716,Tocopilla,CL,-22.09,-70.2,12/28/2020,71.726,57,29,1.87
3423146,Ilulissat,GL,69.22,-51.1,12/28/2020,28.4,92,75,2.1
2015608,Tambovka,RU,50.1,128.05,12/28/2020,-18.4,56,0,2
3592086,Ocós,GT,14.51,-92.19,12/28/2020,86,66,20,1
6541759,Mazara del Vallo,IT,37.66,12.59,12/28/2020,53.6,71,0,8.7
5919850,Chapais,CA,49.78,-74.85,12/28/2020,15.8,85,90,3.1
1735106,George Town,MY,5.41,100.34,12/28/2020,82.4,83,20,1.87
1064275,Ihosy,MG,-22.4,46.12,12/28/2020,68.792,91,100,3.29
2122614,Okha,RU,53.57,142.95,12/28/2020,-17.05,85,100,9.63
2013279,Vostok,RU,46.49,135.88,12/28/2020,-20.38,90,73,1.93
1282931,Patan,NP,27.67,85.33,12/28/2020,42.8,87,20,1
2063056,Port Augusta,AU,-32.5,137.77,12/28/2020,60.8,63,90,5.7
287832,Ibrā’,OM,22.69,58.53,12/28/2020,55.472,40,0,1.39
934649,Cap Malheureux,MU,-19.98,57.61,12/28/2020,75.992,79,72,2.68
489135,Staraya Mayna,RU,54.6,48.95,12/28/2020,19.4,79,90,4
2013921,Ust-Kuyga,RU,70.02,135.6,12/28/2020,-15.844,87,100,0.75
986717,Kruisfontein,ZA,-34,24.73,12/28/2020,73.994,73,0,2.24
3416888,Grindavik,IS,63.84,-22.43,12/28/2020,30.2,54,20,7.7
2084442,Vanimo,PG,-2.67,141.3,12/28/2020,77.936,81,90,0.85
4012707,Cosalá,MX,24.41,-106.69,12/28/2020,75.002,55,0,1.79
1862555,Hirado,JP,33.36,129.55,12/28/2020,50,81,89,1.79
2425791,Kibala,TD,9.11,18.35,12/28/2020,87.8,35,0,1.55
472328,Volot,RU,57.93,30.7,12/28/2020,27.014,93,87,5.95
612230,Sagarejo,GE,41.73,45.33,12/28/2020,35.6,74,0,2.6
1529376,Korla,CN,41.76,86.15,12/28/2020,19.886,84,0,2.2
1045114,Inhambane,MZ,-23.86,35.38,12/28/2020,82.4,74,20,3.1
2070998,Geraldton,AU,-28.77,114.6,12/28/2020,71.6,83,59,2.6
1260880,Pahlgām,IN,34.03,75.33,12/28/2020,19.706,73,90,3.81
3372472,Vila Franca do Campo,PT,37.72,-25.43,12/28/2020,57.2,87,75,6.7
4469160,Greenville,US,35.61,-77.37,12/28/2020,55.994,47,91,2.6
3418910,Upernavik,GL,72.79,-56.15,12/28/2020,29.948,95,100,5.12
2138555,Poum,NC,-20.23,164.02,12/28/2020,80.15,78,6,5.54
3870243,Taltal,CL,-25.4,-70.48,12/28/2020,70.07,60,28,3.54
2337639,Ilorin,NG,8.5,4.55,12/28/2020,86.45,20,32,1.74
2404472,Koyima,SL,8.7,-11.03,12/28/2020,80.6,35,67,1.21
494970,Sheltozero,RU,61.37,35.37,12/28/2020,19.58,95,44,7.03
